"mname","symptoms","diseases","category","unit","unit_price","package_unit","package_price","drug","per_unit","indication","contraindication","caution","side_effect"
"A Plus+","Fever; headache; body ache; mild to moderate pain","Fever; common cold/viral fever; pain management","Tablet","1 Tablet","8.5","10 Tablet","85.0","Paracetamol","325mg","Analgesic and antipyretic.","Hypersensitivity.Servere hepatic impairment.","Alcoholism-G6PD deficiency.Renal or hepatic impairment.","Nausea,rashes,liver toxicity.Leukopenia is rare.Acute renal tubular necrosis.Very rare,blood dyscrasias."
"A 2Z","Weakness; fatigue; poor appetite; skin dryness/acne; deficiency symptoms","Vitamin/mineral deficiency; acne; psoriasis; ichthyosis; nutritional deficiency","Capsule","1 Capsule","2.5","10 Capsule","25.0","Magnesium","1.5 mg","Vit A deficiency during infancy,pregnancy,lactation,heptatobillary disease,steatorrhea.Skin diseases like acne vulgaria,acne venenata,posiriasis,ichthyosis.","Acute eczema,rosacea,cuts,abrasions.Acute dermattis.Pregnancy and lactation.","Avoid exposure to sunlight,UV lamps.Avoid concomitant therapy with conventional acne,medical or cosmatic products.","Feeling of warmth,stinging,excessive redness,oedema and crusting.Corneal opacities,dry eyes,visual disturbances,sketal hyperostosis and musculoskeletal symptoms.Hair thinning,changes in skin pigmentation."
"A 250(60 ml)","Fever; headache; body ache; mild to moderate pain","Fever; common cold/viral fever; pain management","Suspension","5 ml","2.38","60 ml","28.5","Paracetamol","250 mg","Analgesic and antipyretic.","Hypersensitivity.Servere hepatic impairment.","Alcoholism-G6PD deficiency.Renal or hepatic impairment.","Nausea,rashes,liver toxicity.Leukopenia is rare.Acute renal tubular necrosis.Very rare,blood dyscrasias."
"Aansoo(Eye)","Dry eyes; burning sensation; eye irritation; temporary blurred vision","Dry eye syndrome; tear deficiency","Drop","1 ml","4.0","10 ml","40.0","Polyvinyl Alcohol","1.40%","Tear Deficiency.","","Not to be used with soft contact lens.","Mild stringing/burning/irritation in the eye,temporary blurred vision."
"AB Fax(30 ml)","Fever; cough/throat infection symptoms; burning urination; abdominal pain/diarrhea","Respiratory tract infection; urinary tract infection; biliary tract infection; salmonella/typhoid infection","Syrup","5 ml","9.15","30 ml","54.9","Cefixime","50 mg","Infections of respiratory,urinary and biliary tract.Salmonella infection.","Hypersensitivity.","Hypersensitivity to penicillins.Severe renal impairment.","GI disturbances.Headache,Dizziness,rashes."
"AB Hex(100 ml)","Bad breath; gum swelling; gum bleeding; mouth bacterial plaque","Gingivitis; dental plaque; oral bacterial infection; skin cleansing antisepsis","Mouth Wash/Gargle/Throat","100 ml","44.0","100 ml","44.0","Chlorhexidine","2%","Used in mouth wash to reduce dental plaque and bacteria,gingivitis.Skin cleansing by Acantamoeba.","Infants below the age of 2 months.","Should be used only after 30 minutes of toothpaste,food,drink,snoking.Should be avoided for at least 1 hour after its use.",""
"A Cef(1000 mg)","High fever; severe infection symptoms; headache/neck stiffness; burning urination; abdominal pain","Meningitis; septicemia; typhoid; urinary tract infection; surgical infection prophylaxis","Injection","1 Vial","69.0","1 Vial","69.0","Ceftriaxone","1000 mg","Meningitis,septicaemia,typhoid,UTI,proplylaxis in surgical; infections.","Hypersensitivity.","Hepatic or renal dysfunction.Neonates.","Diarrhoea,hypo-prothrombinaemia,pseudomembranous colitis."
"Aplox(250 mg)","Diarrhea; fever; abdominal pain; burning urination; wound redness/swelling; eye redness/discharge","Bacterial gastroenteritis; typhoid; urinary tract infection; gonorrhoea/chancroid; bone/soft tissue/wound/gynaecological infection; conjunctivitis","Tablet","1 Tablet","3.5","100 Tablet","350.0","Ciprofloxacin","250 mg","Bacterial Gastroenteritis.Typhoid.Bone,Soft tissue,gynaecological and wound infections.Conjunctivities,wound infections.","Hypersensitivity.Pregnancy,lactation,children and adolescents.","Renal or hepatic impairment.G6PD deficiency.QT prolongation or risk.Electrolyte disturbances.","GI disturbances.Headache,restleness and arthralgia.Phototoxicity.Anaphylactoid reaction.Mild transient smarting sensation and conjunctival congestion.Convulsions,rashes."
"Alsore(Skin)(10 gm)","Local pain; burning/irritation; procedure-related pain; numbness requirement; hemorrhoid pain","Local/surface anesthesia; peripheral nerve block; hemorrhoids; ventricular arrhythmias","Gel","10 gm","28.0","10 gm","28.0","Lignocaine","2% w/w","Ventricular arrythmias.Sympathetic nerve block.Peripheral nerve block.Surface anaesthesia.Pupil dilation during phacoemulsification cataract surgery.","Dental anaesthesia.Hypovolaemia,heart block or other conduction disturbances.","Especially after myocardial infarction.Hepatic or renal impairment,CHF and following cardiac surgery,elderly or debilitated patients.Pregnancy.","Infiltration anaesthesia.Dizziness,drowsiness,confusion,resp depression.Hypotension and bradycardia leading to cardiac arrest,anaphylaxis."
"Alsore(Skin)(10 gm)(0.01%)","Minor wound irritation; skin redness; risk of local infection","Minor wound antisepsis; skin cleansing; infection prevention","Gel","10 gm","28.0","10 gm","28.0","Benzalkonium Chloride","0.01% w/w","","","",""
"Alsore(Skin)(10 gm)(8.70%)","Pain; swelling; joint stiffness; local inflammatory pain","Arthritis; inflammatory pain conditions; musculoskeletal pain","Gel","10 gm","28.0","10 gm","28.0","Choline Salicylate","8.70%","Choline salicylate along with magnesium salicylate is used to relieve pain in various conditions.It also reduces pain,swelling and joint stiffness in arthritis.","Ischaemic heart disease,bleeding disorders,diabetes mellitus and hypertension.","GI bleeding,may precipitate ischaemic heart disease.",""
"A Mox Dry(60 ml)","Fever; cough/sore throat; ear/nose/throat infection symptoms; urinary discomfort; skin redness/swelling","Respiratory tract infection; genito-urinary infection; skin/soft tissue infection; ENT infection","Syrup","5 ml","2.34","60 ml","28.08","Amoxycillin","125 mg","Respiratory,genito-urinary,skin and soft tissue.ENT infections due to susceptible strains of Gram negative organisms.","Individuals with a histoy of an allergic reactions to the penicillins.Contraindicated during pregnancy.","in case of super added infections with mycotic or bacterial pathogens the drug should be discontinued.","Nausea,vomiting and diarrhoea.Urticaria,skin rashes and serum sickness.Anemia."
"A Niclo SP","Fever; headache; body ache; mild to moderate pain","Fever; common cold/viral fever; pain management","Tablet","1 Tablet","5.99","10 Tablet","59.9","Paracetamol","500 mg","Analgesic and antipyretic.","Hypersensitivity.Serve hepatic impairment.","Alcoholism-G6PD deficiency.Renal or hepatic impairment.","Nausea,rashes,liver toxicity.Leukopenia is rare.Acute renal tubular necrosis.Very rare,blood dyscrasias."
"A One(Vit B9)","Fatigue; weakness; pallor; mouth soreness; pregnancy nutritional requirement","Folate deficiency; megaloblastic anaemia; neural tube defect prophylaxis; malabsorption-related deficiency","Capsule","1 Capsule","4.5","10 Capsule","45.0","Folic Acid(Vit B9)","2.5 mg","Folate-deficient.Prophylaxis of megaloblastic anemia in pregnancy,neural tube defect in pregnancy.Antiepileptic therapy.","Undiagnosed,megaloblastic anaemia,pernicious,aplastic or normocytic anaemias.","Treatment resistance may occur in patients with depressed haematopoiesis,alcoholism,deficiencies of other vitamins.Neonates.","Rarely hypersensitivity."
"A One(Vit B1)","Weakness; fatigue; tingling; numbness; confusion; poor appetite","Thiamine deficiency; beriberi; Wernicke-Korsakoff syndrome","Capsule","1 Capsule","4.5","10 Capsule","45.0","Vit B1","1 mg","Thiamine deficiency.Wernicle-Korsakoff syndrome.","Hypersensitivity.","High requirements in pregnancy and lactation.","Warm sensation,tingling,pruritus,pain,urticaria,weakness,sweating,nausea,restleness,tightness of the throat,GI bleeding."
"A One(Vit B12)","Fatigue; weakness; numbness/tingling; memory or mood symptoms; poor concentration","Vitamin B12 deficiency; megaloblastic anaemia; neuropathy; tobacco amblyopia support","Capsule","1 Capsule","4.5","10 Capsule","45.0","Vit B12","3 mcg","Vitamin B12 deficiency.Neuropathies,psychiatrics disorders.Tobacco amblyopia-hydroxocobalamin is of some benefit.","Hypersensitivity.","",""
